Job ID,Suggestions,Resume ID,Match Score,Apply Link,Job Skills,Resume Experience,Resume Skills,Score,Job Experience,Job Education
lJpHtIdwDE4AAAAAAAAAAA==,"['work', 'cancer', 'care', 'range', 'science', 'benefit', 'cancer care', 'life', 'datum', 'flatiron']",355,0.053876994537185155,https://www.karkidi.com/job-details/36382-data-insights-intern-2023-prototyping-job,['Prototyping'],6.0,"['java', 'sql']",0.5,"{'no_experience_required': False, 'required_experience_in_months': None, 'experience_mentioned': True, 'experience_preferred': False}","{'postgraduate_degree': False, 'professional_certification': False, 'high_school': False, 'associates_degree': False, 'bachelors_degree': False, 'degree_mentioned': True, 'degree_preferred': True, 'professional_certification_mentioned': False}"
3DaGC6V4ZVUAAAAAAAAAAA==,"['model', 'statistical', 'base', 'analytical', 'demand', 'experience', 'design', 'technical', 'datum', 'ibm']",355,0.038953114888966335,https://www.karkidi.com/job-details/15613-entry-level-data-scientist-job,['Python Programming'],6.0,"['java', 'sql']",0.5,"{'no_experience_required': False, 'required_experience_in_months': None, 'experience_mentioned': True, 'experience_preferred': False}","{'postgraduate_degree': False, 'professional_certification': False, 'high_school': False, 'associates_degree': False, 'bachelors_degree': False, 'degree_mentioned': True, 'degree_preferred': False, 'professional_certification_mentioned': False}"
D36x3sAh70iIUQrmAAAAAA==,"['work', 'consumer', 'business', 'experience', 'text', 'behavior', 'culture', 'science', 'purpose', 'datum']",355,0.03294061541708471,https://www.karkidi.com/job-details/36622-data-analytics-intern-global-tech-consumer-research-job,['Data science techniques'],6.0,"['java', 'sql']",0.5,"{'no_experience_required': False, 'required_experience_in_months': None, 'experience_mentioned': True, 'experience_preferred': True}","{'postgraduate_degree': False, 'professional_certification': False, 'high_school': False, 'associates_degree': False, 'bachelors_degree': False, 'degree_mentioned': True, 'degree_preferred': False, 'professional_certification_mentioned': False}"
OwHcvIV4e6AAAAAAAAAAAA==,"['data', 'analytic', 'college', 'day', 'marketing', 'problem', 'role', 'business', 'knowledge', 'datum']",355,0.02369123406471957,https://www.karkidi.com/job-details/20427-summer-intern-data-science-job,['Data Analytics'],6.0,"['java', 'sql']",0.5,"{'no_experience_required': False, 'required_experience_in_months': None, 'experience_mentioned': True, 'experience_preferred': False}","{'postgraduate_degree': False, 'professional_certification': False, 'high_school': False, 'associates_degree': False, 'bachelors_degree': False, 'degree_mentioned': True, 'degree_preferred': False, 'professional_certification_mentioned': False}"
WXxd__DPX1kAAAAAAAAAAA==,"['application', 'experience', 'job', 'process', 'entry', 'cbo', 'cbo develop', 'cbo develop application', 'datum', 'datum entry']",355,0.033092841221584526,https://www.dice.com/job-detail/33bf679c-584f-47b3-8e44-145f6811a00f,"['Data Analyst', 'Clinical Business Operations']",6.0,"['java', 'sql']",0.3333333333333333,"{'no_experience_required': False, 'required_experience_in_months': 12, 'experience_mentioned': True, 'experience_preferred': False}","{'postgraduate_degree': False, 'professional_certification': False, 'high_school': False, 'associates_degree': False, 'bachelors_degree': False, 'degree_mentioned': True, 'degree_preferred': False, 'professional_certification_mentioned': True}"
2CXqE5ABGZQAAAAAAAAAAA==,"['data', 'experience', 'include', 'key', 'datum', 'key technology', 'key technology include', 'python', 'technology', 'technology include']",355,0.08591010820820028,https://www.karkidi.com/job-details/30975-data-analyst-ii-job,['C++'],6.0,"['java', 'sql']",0.20833333333333334,"{'no_experience_required': False, 'required_experience_in_months': 48, 'experience_mentioned': True, 'experience_preferred': False}","{'postgraduate_degree': False, 'professional_certification': False, 'high_school': False, 'associates_degree': False, 'bachelors_degree': False, 'degree_mentioned': True, 'degree_preferred': False, 'professional_certification_mentioned': False}"
6m9YxvCN_vYAAAAAAAAAAA==,"['data', 'experience', 'deliver', 'employee', 'business', 'project', 'security', 'develop', 'apply', 'datum']",355,0.048370065493821744,https://www.karkidi.com/job-details/31547-data-engineer-data-analyst-job,['C Programming'],6.0,"['java', 'sql']",0.19444444444444445,"{'no_experience_required': False, 'required_experience_in_months': 72, 'experience_mentioned': True, 'experience_preferred': False}","{'postgraduate_degree': False, 'professional_certification': False, 'high_school': False, 'associates_degree': False, 'bachelors_degree': False, 'degree_mentioned': True, 'degree_preferred': True, 'professional_certification_mentioned': False}"
HfFFFpyPoL8AAAAAAAAAAA==,"['team', 'ai', 'lead', 'organization', 'ability', 'analytic', 'time', 'value', 'brand', 'datum']",701,0.12375551288021243,https://www.karkidi.com/job-details/29018-data-analytics-and-ai-lead-brand-marketing-and-insights-job,['Cloud computing'],125.0,[],0.5,"{'no_experience_required': False, 'required_experience_in_months': None, 'experience_mentioned': True, 'experience_preferred': False}","{'postgraduate_degree': False, 'professional_certification': False, 'high_school': False, 'associates_degree': False, 'bachelors_degree': False, 'degree_mentioned': True, 'degree_preferred': True, 'professional_certification_mentioned': False}"
D36x3sAh70iIUQrmAAAAAA==,"['work', 'consumer', 'business', 'experience', 'text', 'behavior', 'culture', 'science', 'purpose', 'datum']",701,0.11247255831213902,https://www.karkidi.com/job-details/36622-data-analytics-intern-global-tech-consumer-research-job,['Data science techniques'],125.0,[],0.5,"{'no_experience_required': False, 'required_experience_in_months': None, 'experience_mentioned': True, 'experience_preferred': True}","{'postgraduate_degree': False, 'professional_certification': False, 'high_school': False, 'associates_degree': False, 'bachelors_degree': False, 'degree_mentioned': True, 'degree_preferred': False, 'professional_certification_mentioned': False}"
WXxd__DPX1kAAAAAAAAAAA==,"['application', 'experience', 'job', 'process', 'entry', 'cbo', 'cbo develop', 'cbo develop application', 'datum', 'datum entry']",701,0.10383281430455973,https://www.dice.com/job-detail/33bf679c-584f-47b3-8e44-145f6811a00f,"['Data Analyst', 'Clinical Business Operations']",125.0,[],0.5,"{'no_experience_required': False, 'required_experience_in_months': 12, 'experience_mentioned': True, 'experience_preferred': False}","{'postgraduate_degree': False, 'professional_certification': False, 'high_school': False, 'associates_degree': False, 'bachelors_degree': False, 'degree_mentioned': True, 'degree_preferred': False, 'professional_certification_mentioned': True}"
zS6k6mqsUeIAAAAAAAAAAA==,"['business', 'intern', 'data', 'exposure', 'gain', 'opportunity', 'program', 'internship', 'pnc', 'datum']",701,0.1022971166934111,https://www.karkidi.com/job-details/31403-data-analytics-undergraduate-intern-job,['R Programming'],125.0,[],0.5,"{'no_experience_required': False, 'required_experience_in_months': None, 'experience_mentioned': True, 'experience_preferred': False}","{'postgraduate_degree': False, 'professional_certification': False, 'high_school': False, 'associates_degree': False, 'bachelors_degree': False, 'degree_mentioned': True, 'degree_preferred': False, 'professional_certification_mentioned': False}"
OwHcvIV4e6AAAAAAAAAAAA==,"['data', 'analytic', 'college', 'day', 'marketing', 'problem', 'role', 'business', 'knowledge', 'datum']",701,0.0777038265315073,https://www.karkidi.com/job-details/20427-summer-intern-data-science-job,['Data Analytics'],125.0,[],0.5,"{'no_experience_required': False, 'required_experience_in_months': None, 'experience_mentioned': True, 'experience_preferred': False}","{'postgraduate_degree': False, 'professional_certification': False, 'high_school': False, 'associates_degree': False, 'bachelors_degree': False, 'degree_mentioned': True, 'degree_preferred': False, 'professional_certification_mentioned': False}"
3DaGC6V4ZVUAAAAAAAAAAA==,"['model', 'statistical', 'base', 'analytical', 'demand', 'experience', 'design', 'technical', 'datum', 'ibm']",701,0.07157910447023298,https://www.karkidi.com/job-details/15613-entry-level-data-scientist-job,['Python Programming'],125.0,[],0.5,"{'no_experience_required': False, 'required_experience_in_months': None, 'experience_mentioned': True, 'experience_preferred': False}","{'postgraduate_degree': False, 'professional_certification': False, 'high_school': False, 'associates_degree': False, 'bachelors_degree': False, 'degree_mentioned': True, 'degree_preferred': False, 'professional_certification_mentioned': False}"
ThBZE1jJUvgAAAAAAAAAAA==,"['learning', 'machine', 'machine learning', 'experimentation', 'science', 'analysis', 'team', 'global', 'publishing', 'datum']",701,0.06243614368168593,https://www.karkidi.com/job-details/24269-data-science-intern-machine-learning-and-analytics-job,['Natural Language Processing (NLP)'],125.0,[],0.5,"{'no_experience_required': False, 'required_experience_in_months': None, 'experience_mentioned': True, 'experience_preferred': True}","{'postgraduate_degree': False, 'professional_certification': False, 'high_school': False, 'associates_degree': False, 'bachelors_degree': False, 'degree_mentioned': True, 'degree_preferred': False, 'professional_certification_mentioned': False}"
_PiPxZC_IooAAAAAAAAAAA==,"['lead', 'solution', 'experience', 'analytic', 'technical', 'datum', 'ibm', 'you', 'ai', 'clients']",730,0.21781939333887526,https://www.karkidi.com/job-details/35611-data-scientist-2023-entry-level-sales-job,['C++'],30.0,"['python', 'machine learning', 'sql']",0.5,"{'no_experience_required': False, 'required_experience_in_months': 12, 'experience_mentioned': True, 'experience_preferred': False}","{'postgraduate_degree': False, 'professional_certification': False, 'high_school': False, 'associates_degree': False, 'bachelors_degree': False, 'degree_mentioned': True, 'degree_preferred': True, 'professional_certification_mentioned': False}"
3DaGC6V4ZVUAAAAAAAAAAA==,"['model', 'statistical', 'base', 'analytical', 'demand', 'experience', 'design', 'technical', 'datum', 'ibm']",730,0.1770174207549971,https://www.karkidi.com/job-details/15613-entry-level-data-scientist-job,['Python Programming'],30.0,"['python', 'machine learning', 'sql']",0.5,"{'no_experience_required': False, 'required_experience_in_months': None, 'experience_mentioned': True, 'experience_preferred': False}","{'postgraduate_degree': False, 'professional_certification': False, 'high_school': False, 'associates_degree': False, 'bachelors_degree': False, 'degree_mentioned': True, 'degree_preferred': False, 'professional_certification_mentioned': False}"
